report_date,location,zika_confirmed
2016-01-09,Colombia-Antioquia-Chigorodo,0
2016-01-09,Colombia-Antioquia-Cisneros,0
2016-01-09,Colombia-Antioquia-Ciudad_Bolivar,1
2016-01-09,Colombia-Antioquia-Cocorna,1
2016-01-09,Colombia-Antioquia-Concepcion,0
2016-01-09,Colombia-Antioquia-Concordia,0
2016-01-09,Colombia-Antioquia-Copacabana,0
2016-01-09,Colombia-Antioquia-Dabeiba,0
2016-01-09,Colombia-Antioquia-Don_Matias,0
2016-01-09,Colombia-Antioquia-Ebejico,0
2016-01-09,Colombia-Antioquia-El_Bagre,1
2016-01-09,Colombia-Antioquia-El_Carmen_De_Viboral,0
2016-01-09,Colombia-Antioquia-El_Santuario,0
2016-01-09,Colombia-Antioquia-Entrerrios,0
2016-01-09,Colombia-Antioquia-Envigado,0
2016-01-09,Colombia-Antioquia-Fredonia,0
2016-01-09,Colombia-Antioquia-Frontino,0
2016-01-09,Colombia-Antioquia-Giraldo,0
2016-01-09,Colombia-Antioquia-Girardota,1
2016-01-09,Colombia-Antioquia-Gomez_Plata,0
2016-01-09,Colombia-Antioquia-Granada,0
2016-01-09,Colombia-Antioquia-Guadalupe,0
2016-01-09,Colombia-Antioquia-Guarne,0
2016-01-09,Colombia-Antioquia-Guatape,0
2016-01-09,Colombia-Antioquia-Heliconia,0
2016-01-09,Colombia-Antioquia-Hispania,1
2016-01-09,Colombia-Antioquia-Itagui,1
2016-01-09,Colombia-Antioquia-Ituango,0
2016-01-09,Colombia-Antioquia-Jardin,0
2016-01-09,Colombia-Antioquia-Jerico,0
2016-01-09,Colombia-Antioquia-La_Ceja,0
2016-01-09,Colombia-Antioquia-La_Estrella,0
2016-01-09,Colombia-Antioquia-La_Pintada,0
2016-01-09,Colombia-Antioquia-La_Union,0
2016-01-09,Colombia-Antioquia-Liborina,0
2016-01-09,Colombia-Antioquia-Maceo,1
2016-01-09,Colombia-Antioquia-Marinilla,0
2016-01-09,Colombia-Antioquia-Medellin,1
2016-01-09,Colombia-Antioquia-Montebello,0
2016-01-09,Colombia-Antioquia-Murindo,0
2016-01-09,Colombia-Antioquia-Mutata,1
2016-01-09,Colombia-Antioquia-Narino,0
2016-01-09,Colombia-Antioquia-Nechi,0
2016-01-09,Colombia-Antioquia-Necocli,0
2016-01-09,Colombia-Antioquia-Olaya,0
2016-01-09,Colombia-Antioquia-Peque,0
2016-01-09,Colombia-Antioquia-Peðol,0
2016-01-09,Colombia-Antioquia-Pueblorrico,0
2016-01-09,Colombia-Antioquia-Puerto_Berrio,0
2016-01-09,Colombia-Antioquia-Puerto_Nare,1
2016-01-09,Colombia-Antioquia-Puerto_Triunfo,0
2016-01-09,Colombia-Antioquia-Remedios,0
2016-01-09,Colombia-Antioquia-Retiro,0
2016-01-09,Colombia-Antioquia-Rionegro,1
2016-01-09,Colombia-Antioquia-Sabanalarga,0
2016-01-09,Colombia-Antioquia-Sabaneta,0
2016-01-09,Colombia-Antioquia-Salgar,0
2016-01-09,Colombia-Antioquia-San_Andres_De_Cuerquia,0
2016-01-09,Colombia-Antioquia-San_Carlos,1
2016-01-09,Colombia-Antioquia-San_Francisco,0
2016-01-09,Colombia-Antioquia-San_Jeronimo,0
2016-01-09,Colombia-Antioquia-San_Jose_De_La_Montana,0
2016-01-09,Colombia-Antioquia-San_Juan_De_Uraba,0
2016-01-09,Colombia-Antioquia-San_Luis,1
2016-01-09,Colombia-Antioquia-San_Pedro,0
2016-01-09,Colombia-Antioquia-San_Pedro_De_Uraba,0
2016-01-09,Colombia-Antioquia-San_Rafael,0
2016-01-09,Colombia-Antioquia-San_Roque,0
2016-01-09,Colombia-Antioquia-San_Vicente,0
2016-01-09,Colombia-Antioquia-Santa_Barbara,0
2016-01-09,Colombia-Antioquia-Santa_Rosa_De_Osos,0
2016-01-09,Colombia-Antioquia-Santafe_De_Antioquia,0
2016-01-09,Colombia-Antioquia-Santo_Domingo,0
2016-01-09,Colombia-Antioquia-Segovia,0
2016-01-09,Colombia-Antioquia-Sonson,0
2016-01-09,Colombia-Antioquia-Sopetran,0
2016-01-09,Colombia-Antioquia-Tamesis,0
2016-01-09,Colombia-Antioquia-Taraza,1
2016-01-09,Colombia-Antioquia-Tarso,0
2016-01-09,Colombia-Antioquia-Titiribi,0
2016-01-09,Colombia-Antioquia-Toledo,0
2016-01-09,Colombia-Antioquia-Turbo,1
2016-01-09,Colombia-Antioquia-Unknown,1
2016-01-09,Colombia-Antioquia-Uramita,1
2016-01-09,Colombia-Antioquia-Urrao,0
2016-01-09,Colombia-Antioquia-Valdivia,0
2016-01-09,Colombia-Antioquia-Valparaiso,1
2016-01-09,Colombia-Antioquia-Vegachi,0
2016-01-09,Colombia-Antioquia-Venecia,0
2016-01-09,Colombia-Antioquia-Vigia_Del_Fuerte,0
2016-01-09,Colombia-Antioquia-Yali,0
2016-01-09,Colombia-Antioquia-Yarumal,0
2016-01-09,Colombia-Antioquia-Yolombo,0
2016-01-09,Colombia-Antioquia-Yondo,0
2016-01-09,Colombia-Antioquia-Zaragoza,0
2016-01-09,Colombia-Arauca-Arauca,1
2016-01-09,Colombia-Arauca-Arauquita,1
2016-01-09,Colombia-Arauca-Cravo_Norte,0
2016-01-09,Colombia-Arauca-Fortul,0
2016-01-09,Colombia-Arauca-Puerto_Rondon,0
2016-01-09,Colombia-Arauca-Saravena,1
2016-01-09,Colombia-Arauca-Tame,1
2016-01-09,Colombia-Arauca-Unknown,0
2016-01-09,Colombia-Atlantico-Baranoa,1
2016-01-09,Colombia-Atlantico-Campo_De_La_Cruz,0
2016-01-09,Colombia-Atlantico-Candelaria,0
2016-01-09,Colombia-Atlantico-Galapa,0
2016-01-09,Colombia-Atlantico-Juan_De_Acosta,0
2016-01-09,Colombia-Atlantico-Luruaco,0
2016-01-09,Colombia-Atlantico-Malambo,1
2016-01-09,Colombia-Atlantico-Manati,0
2016-01-09,Colombia-Atlantico-Palmar_De_Varela,0
2016-01-09,Colombia-Atlantico-Piojo,0
2016-01-09,Colombia-Atlantico-Polonuevo,0
2016-01-09,Colombia-Atlantico-Ponedera,0
2016-01-09,Colombia-Atlantico-Puerto_Colombia,1
2016-01-09,Colombia-Atlantico-Repelon,1
2016-01-09,Colombia-Atlantico-Sabanagrande,0
2016-01-09,Colombia-Atlantico-Sabanalarga,0
2016-01-09,Colombia-Atlantico-Santa_Lucia,0
2016-01-09,Colombia-Atlantico-Santo_Tomas,1
2016-01-09,Colombia-Atlantico-Soledad,0
2016-01-09,Colombia-Atlantico-Suan,0
2016-01-09,Colombia-Atlantico-Tubara,1
2016-01-09,Colombia-Atlantico-Unknown,0
2016-01-09,Colombia-Atlantico-Usiacuri,1
2016-01-09,Colombia-Barranquilla-Barranquilla,1
2016-01-09,Colombia-Bogota-Barrios_Unidos_12_De_Octubre,0
2016-01-09,Colombia-Bogota-Barrios_Unidos_Los_Andes,0
2016-01-09,"Colombia-Bogota-Bogota,_D.C.",0
2016-01-09,Colombia-Bogota-Bosa_Bosa_Central,0
2016-01-09,Colombia-Bogota-Bosa_Tintal_Sur,0
2016-01-09,Colombia-Bogota-Chapinero_Chapinero,0
